registryid,x,y,county_fips,state_fips,state_nuclear_restrictions,state_electricity_price,state_net_electricity_imports,state_nuclear_inclusive_policy,pop_weight_svi,traditionally_regulated_state_energy_market,state_construction_labor_5yr_mean_annual_wage,count_protected_lands,count_hazardous_facilities_within_5mi,fault_line_hazard,landslide_hazard,max_pga_lt_0o3g,hundred_year_flood_zone,open_water_or_wetland,pop_weight_sentiment,slope_lt_12pct,population_center_dist,ret_facility_dist,count_nuclear_rd_within_100mi,substation_dist,road_dist,streamflow_50kgpm_within_20mi
C298,-96.2525,31.4219,48293.0,48,0,12.1533333333333,6948,0,0.315037519378562,0,32638,0.0,1.0,1,1,1,1,0,0.455940922481737,1,76.5351191728583,0.0,1,0.423017843343282,3.52113655855891,1
C470,-104.5747,38.2081,8101.0,8,0,10.14,3420,1,0.206973821159795,1,36626,0.0,1.0,1,1,1,1,1,0.391553946109598,1,16.055596190967,18.9134936968571,0,0.305532231474111,2.42588958657208,1
C492,-104.8333,38.824444,8041.0,8,0,11.3133333333333,3420,1,0.222965960909487,0,36626,0.0,7.0,1,0,1,1,1,0.403053714867807,1,22.6093887718579,0.0,0,0.156949071420455,0.0929188123306858,1
C525,-107.185,40.4856,8107.0,8,0,11.9544444444444,3420,1,0.359367303200739,1,36626,0.0,1.0,1,0,1,1,1,0.421190751093096,1,140.945462945151,0.0,0,0.461546522995315,0.038073392075106,0
C564,-81.1678,28.4822,12095.0,12,0,7.91333333333333,13226,0,0.0979342216357302,1,31532,0.0,4.0,1,1,1,1,1,0.438517278291185,1,63.3837813301941,55.2696717589785,0,1.01032267640471,0.0457662312132263,1
C594,-75.2341,38.5857,10005.0,10,0,10.14,7552,0,0.519840700821979,1,36184,0.0,4.0,1,1,1,1,0,0.433916717680139,1,54.4237965405695,32.0678282036509,0,0.367769080877796,0.061514224678715,1
C602,-76.5389,39.18,24003.0,24,0,11.4288888888888,25934,0,0.545098442874835,1,34766,0.0,7.0,1,0,1,1,1,0.406487606892998,1,14.429855279089,0.0,1,0.288126915832555,0.370422468807619,1
C628,-82.6977,28.9656,12017.0,12,0,8.67111111111111,13226,0,0.691155658845258,1,31532,0.0,0.0,1,1,1,1,1,0.476416732251035,1,26.2304165175613,8.42932356240562,1,0.41678333290618,0.762949067005282,1
C641,-87.2244,30.5661,12033.0,12,0,11.1111111111111,13226,0,0.447385027204181,1,31532,0.0,3.0,1,1,1,1,0,0.457795170784842,1,6.91379756274942,11.5372636045723,0,0.132818260103284,0.401544617162005,1
C645,-82.4036,27.7944,12057.0,12,0,10.7422222222222,13226,0,0.301530917849457,1,31532,0.0,2.0,1,1,1,0,0,0.43220773281889,1,11.7761461344386,23.9522413808367,0,0.59064306851179,0.0991758208244695,1
C667,-81.5525,30.4172,12031.0,12,0,10.14,13226,0,0.280095308951785,1,31532,0.0,4.0,1,1,1,1,1,0.461506022825288,1,35.1769017175863,33.5668311665247,1,0.206626405333674,0.13666728768077,1
C703,-84.9222,34.1256,13015.0,13,0,10.8766666666666,23537,0,0.605076899561453,1,33230,0.0,2.0,1,0,1,1,1,0.4392802764317079,1,25.8630853578667,0.0,0,0.141057425535895,0.13990247646716,1
C856,-89.6631,40.5958,17143.0,17,2,11.2888888888888,-34739,0,0.367582674155517,1,59038,0.0,5.0,1,0,1,1,0,0.430685703937374,1,24.3587209905583,0.0,0,0.113321084203028,0.202588153248426,1
C876,-89.49639,39.590556,17021.0,17,2,11.2888888888888,-34739,0,0.326867714109273,1,59038,0.0,0.0,1,1,1,1,1,0.411098941266675,1,37.7319264735583,38.0831455428317,0,0.257552724015956,0.0577775034448571,1
C879,-89.6786,40.5408,17179.0,17,2,11.2888888888888,-34739,0,0.50975912612587,1,59038,0.0,3.0,1,0,1,1,1,0.430427274435741,1,11.029684360515,0.0,0,0.236031565897921,0.0197675114774537,1
C883,-87.8133,42.3833,17097.0,17,2,9.85555555555555,-34739,0,0.801474836195459,0,59038,0.0,2.0,1,1,1,1,1,0.426484613689728,0,24.9993084210008,10.6864060741853,1,0.284973060364953,0.0839925917505731,1
C884,-88.0629,41.6334,17197.0,17,2,10.7422222222222,-34739,0,0.190776076505887,1,59038,0.0,7.0,1,0,1,1,1,0.446874693971035,1,28.1758215103235,0.0,1,0.119863632404092,0.147920113338029,1
C887,-88.85889,37.2094,17127.0,17,2,11.2888888888888,-34739,0,0.391190783994459,1,59038,0.0,1.0,1,1,1,1,1,0.39723072874428,1,15.8940928877213,0.0,0,0.107731807773425,0.0241283593948185,1
C889,-89.8544,38.205,17157.0,17,2,9.85555555555555,-34739,0,0.767849821186424,0,59038,0.0,0.0,1,1,1,1,1,0.406833981819605,1,18.2518123079416,0.0,0,0.188802290985132,0.0572800542312088,1
C963,-89.60239,39.754803,17167.0,17,2,9.85555555555555,-34739,0,0.511748215413948,0,59038,0.0,3.0,1,1,1,0,1,0.411183423124816,1,63.7565175527337,62.7836770361838,0,0.11212843132971,0.234557823739681,1
C976,-88.95311,37.619747,17199.0,17,2,9.85555555555555,-34739,0,0.812452754759367,0,59038,2.0,1.0,1,1,1,1,0,0.416356476274049,1,42.1586626539052,46.4163875411064,0,0.106430156720222,0.518443957999691,1
C983,-85.4206,38.7378,18077.0,18,0,9.85555555555555,12707,1,0.814620942928518,0,39630,0.0,0.0,1,1,1,1,0,0.38976123779257,1,14.8927428524487,0.0,0,0.170467043404605,0.356480860404245,0
C994,-87.2525,38.5281,18125.0,18,0,9.85555555555555,12707,1,0.844002105080303,0,39630,0.0,3.0,1,1,1,1,1,0.385630713024431,1,56.9193374927795,44.1632045418512,0,0.220785901272304,0.117722302546108,1
C997,-86.9086,41.7208,,18,0,12.6855555555555,12707,1,0.389035058632924,0,39630,0.0,2.0,1,1,1,1,0,0.410456245116838,1,28.6626224002398,43.0547824104736,1,0.190749238138253,0.122572270249347,1
C1001,-87.4244,39.9242,18165.0,18,0,8.67111111111111,12707,1,0.85951525429534,1,39630,0.0,0.0,1,1,1,1,0,0.398688162412663,1,19.9043956802663,78.4082584605914,1,0.183403966441846,0.195550048658035,1
C1004,-87.2472,38.8067,18083.0,18,0,9.85555555555555,12707,1,0.850362136556514,0,39630,0.0,0.0,1,1,1,1,1,0.381800247623295,1,47.2583002925536,0.0,0,0.148063483179374,0.0353992573052768,0
C1012,-87.3275,37.9111,18173.0,18,0,10.7422222222222,12707,1,0.405518513433353,1,39630,0.0,2.0,1,1,1,1,0,0.388327400384487,1,7.6032711620984,9.49000533610818,0,0.117148624504357,0.222192140598822,1
