registryid,x,y,county_fips,state_fips
C2914,-81.46815,40.520066,39157,39
C2935,-81.76576,40.850964,39169,39
C2936,-81.254,41.7265,39085,39
C2952,-95.28732,35.76135,40101,40
C2963,-95.7008,36.4317,40131,40
C3118,-79.0611,40.3842,42129,42
C3122,-79.19611,40.512825,42063,42
C3130,-79.03366,40.40625,42129,42
C3136,-79.3411,40.6604,42005,42
C3149,-76.6672,41.0714,42093,42
C3297,-80.6228,33.8264,45079,45
C3298,-79.9297,33.0158,45015,45
C3396,-84.1567,36.0211,47001,47
C3399,-87.6539,36.3903,47161,47
C3403,-86.4006,36.3156,47165,47
C3407,-84.5194,35.8992,47145,47
C3470,-95.6311,29.4828,48157,48
C3797,-77.3833,37.3822,51041,51
C3845,-122.8598,46.755938,53041,53
C3935,-81.8233,38.4731,54079,54
C3943,-79.9275,39.710833,54061,54
C3944,-80.3325,39.384167,54033,54
C3948,-80.8153,39.8297,54051,54
C3954,-79.2636,39.2008,54023,54
C4041,-87.8294,42.8457,55079,55
C4050,-87.70586,43.715142,55117,55
C4078,-89.6553,44.8606,55073,55
C4158,-105.7769,42.8378,56009,56
C4162,-110.5983,41.7581,56023,56
C4271,-91.91265,44.303583,55011,55
C6002,-87.0597,33.6319,01073,01
C6004,-81.29444,39.366667,54073,54
C6009,-92.1406,34.4228,05069,05
C6017,-88.2781,38.9361,17079,17
C6018,-84.8514,38.9036,21015,21
C6019,-84.2289,38.8675,39025,39
C6021,-107.5912,40.4627,08081,08
C6030,-101.1571,47.377743,38055,38
C6034,-82.495,42.7756,,26
C6041,-83.8181,38.7,21161,21
C6052,-85.03233,33.41342,13149,13
C6055,-91.3692,30.7261,22077,22
C6064,-94.6975,39.1681,20209,20
C6065,-94.98,39.4472,29165,29
C6068,-96.11723,39.286453,20149,20
C6071,-85.4117,38.5847,21223,21
C6073,-88.5553,30.5322,28059,28
C6076,-106.614,45.8831,30087,30
C6077,-101.1408,41.0808,31111,31
C6085,-87.0261,41.2164,18073,18
C6090,-93.8931,45.3808,27141,27
C6095,-97.05279,36.45307,40103,40
C6096,-95.7764,40.6214,31131,31
C6098,-96.51007,45.303652,46051,46
C6101,-105.3815,44.290128,56005,56
C6113,-87.76583,38.372222,18051,18
C6137,-87.715,37.9053,18129,18
C6138,-94.5241,36.2561,05007,05
C6139,-94.83999,33.05522,48449,48
C6146,-94.5706,32.2606,48401,48
C6155,-90.26316,38.131248,29099,29
C6165,-111.0289,39.1747,49015,49
C6166,-87.0372,37.9256,18147,18
C6177,-109.2708,34.5789,04001,04
C6178,-97.21417,28.7128,48175,48
C6179,-96.7506,29.9172,48149,48
C6180,-96.4866,31.1803,48395,48
C6181,-98.3228,29.308056,48029,48
C6183,-98.4775,28.7044,48013,48
C6190,-92.71667,31.395,22079,22
C6193,-101.7472,35.29816,48375,48
C6194,-102.57,34.186494,48279,48
C6195,-93.38804,37.151706,29077,29
C6204,-104.8825,42.108889,56031,56
C6213,-87.5108,39.0694,18153,18
C6248,-103.6803,40.2217,08087,08
C6249,-79.35724,33.33184,45043,45
C6250,-78.8917,36.5278,37145,37
C6254,-92.55583,41.0961,19179,19
C6257,-83.8075,33.0606,13207,13
C6264,-81.9344,38.9794,54053,54
C6469,-101.8357,47.370542,38057,38
C6481,-112.5802,39.509731,49027,49
C6639,-87.5,37.6461,21233,21
C6641,-91.40876,35.678442,05063,05
C6664,-91.0931,41.3181,19115,19
C6705,-87.3328,37.915,18173,18
C6761,-105.0212,40.860905,08069,08
C6768,-89.6209,36.8791,29201,29
C6772,-95.3206,34.0158,40023,40
C6823,-87.0806,37.4497,21183,21
C7030,-96.69503,31.091925,48395,48
C7097,-98.3203,29.309722,48029,48
C7213,-78.704,36.869,51083,51
C7242,-81.9897,27.7286,12105,12
C7343,-96.3617,42.3006,19193,19
C7504,-105.3833,44.2856,56005,56
C7790,-109.2844,40.0864,49047,49
C7902,-94.4852,32.4607,48203,48
C8023,-89.4203,43.4864,55021,55
