Average R2 Score,Layer1 Neurons,Learning Rate
0.8202736890201471,"[800, 800, 800, 800, 800]",0.003
0.8221859314684606,"[800, 800, 800, 800, 800]",0.0002
0.8155365807659547,"[800, 800, 800, 800, 800]",0.0001
0.813002509540285,"[800, 800, 800, 800, 800, 800]",0.003
0.8200740149905702,"[800, 800, 800, 800, 800, 800]",0.0002
0.8114865560695442,"[800, 800, 800, 800, 800, 800]",0.0001
0.7967521431018645,"[800, 800, 800, 800, 800, 800, 800]",0.003
0.8218822413170762,"[800, 800, 800, 800, 800, 800, 800]",0.0002
0.8159745774454157,"[800, 800, 800, 800, 800, 800, 800]",0.0001
0.8199741885565517,"[900, 900, 900, 900, 900]",0.003
0.8274568615969019,"[900, 900, 900, 900, 900]",0.0002
0.8199364373885958,"[900, 900, 900, 900, 900]",0.0001
0.8114527346163503,"[900, 900, 900, 900, 900, 900]",0.003
0.8251550158704547,"[900, 900, 900, 900, 900, 900]",0.0002
0.8154817953588099,"[900, 900, 900, 900, 900, 900]",0.0001
0.8036502330113767,"[900, 900, 900, 900, 900, 900, 900]",0.003
0.8246477644701765,"[900, 900, 900, 900, 900, 900, 900]",0.0002
0.8089560344267375,"[900, 900, 900, 900, 900, 900, 900]",0.0001
0.8143963673406273,"[1000, 1000, 1000, 1000, 1000]",0.003
0.8270677380237986,"[1000, 1000, 1000, 1000, 1000]",0.0002
0.8181329497673048,"[1000, 1000, 1000, 1000, 1000]",0.0001
0.8162337007885221,"[1000, 1000, 1000, 1000, 1000, 1000]",0.003
0.8228920033284398,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.8233934706210984,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0001
0.8056604320977283,"[1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.003
0.8250206949514679,"[1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.8215544491169019,"[1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0001
