Average R2 Score,Layer1 Neurons,Learning Rate
0.8267957087915587,"[800, 800, 800, 800]",0.003
0.836285859548902,"[800, 800, 800, 800]",0.0002
0.8289948322418063,"[800, 800, 800, 800]",0.0001
0.8149441602350826,"[800, 800, 800, 800, 800]",0.003
0.833812608560639,"[800, 800, 800, 800, 800]",0.0002
0.8319277421882011,"[800, 800, 800, 800, 800]",0.0001
0.8225578335934953,"[800, 800, 800, 800, 800, 800]",0.003
0.8360902860543816,"[800, 800, 800, 800, 800, 800]",0.0002
0.8343463507720573,"[800, 800, 800, 800, 800, 800]",0.0001
0.8317965195752445,"[900, 900, 900, 900]",0.003
0.8376379231618162,"[900, 900, 900, 900]",0.0002
0.8310495616131762,"[900, 900, 900, 900]",0.0001
0.8275819284039383,"[900, 900, 900, 900, 900]",0.003
0.8339766980402494,"[900, 900, 900, 900, 900]",0.0002
0.8342571579322385,"[900, 900, 900, 900, 900]",0.0001
0.8180989353696455,"[900, 900, 900, 900, 900, 900]",0.003
0.8384909837141905,"[900, 900, 900, 900, 900, 900]",0.0002
0.834619010801609,"[900, 900, 900, 900, 900, 900]",0.0001
0.8238756007433178,"[1000, 1000, 1000, 1000]",0.003
0.8362697398961474,"[1000, 1000, 1000, 1000]",0.0002
0.8296487840215201,"[1000, 1000, 1000, 1000]",0.0001
0.8255460069708805,"[1000, 1000, 1000, 1000, 1000]",0.003
0.8376918965348107,"[1000, 1000, 1000, 1000, 1000]",0.0002
0.8374419753207831,"[1000, 1000, 1000, 1000, 1000]",0.0001
0.8095364547971368,"[1000, 1000, 1000, 1000, 1000, 1000]",0.003
0.8340177061587185,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.8311853751411803,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0001
