Average R2 Score,Layer1 Neurons,Learning Rate
0.8207284725605362,"[850, 850, 850, 850, 850]",0.0025
0.8313015291875945,"[850, 850, 850, 850, 850]",0.0002
0.8350037802735661,"[850, 850, 850, 850, 850]",0.00015
0.8237243094614992,"[850, 850, 850, 850, 850, 850]",0.0025
0.8329803228834977,"[850, 850, 850, 850, 850, 850]",0.0002
0.8354157307788054,"[850, 850, 850, 850, 850, 850]",0.00015
0.8134158071588375,"[850, 850, 850, 850, 850, 850, 850]",0.0025
0.8291438335868139,"[850, 850, 850, 850, 850, 850, 850]",0.0002
0.8308442031471783,"[850, 850, 850, 850, 850, 850, 850]",0.00015
0.8206947247577487,"[900, 900, 900, 900, 900]",0.0025
0.8310385054068369,"[900, 900, 900, 900, 900]",0.0002
0.8380694894049081,"[900, 900, 900, 900, 900]",0.00015
0.8089643804143145,"[900, 900, 900, 900, 900, 900]",0.0025
0.8326541736598546,"[900, 900, 900, 900, 900, 900]",0.0002
0.8359615476545245,"[900, 900, 900, 900, 900, 900]",0.00015
0.8133329282280978,"[900, 900, 900, 900, 900, 900, 900]",0.0025
0.8301915507058403,"[900, 900, 900, 900, 900, 900, 900]",0.0002
0.8343805558327123,"[900, 900, 900, 900, 900, 900, 900]",0.00015
0.82398430099299,"[950, 950, 950, 950, 950]",0.0025
0.8394277130802955,"[950, 950, 950, 950, 950]",0.0002
0.8326532786116535,"[950, 950, 950, 950, 950]",0.00015
0.8184634728585266,"[950, 950, 950, 950, 950, 950]",0.0025
0.8353091115518781,"[950, 950, 950, 950, 950, 950]",0.0002
0.8335267839674715,"[950, 950, 950, 950, 950, 950]",0.00015
0.814946815188954,"[950, 950, 950, 950, 950, 950, 950]",0.0025
0.8279428508205299,"[950, 950, 950, 950, 950, 950, 950]",0.0002
0.8322053139206662,"[950, 950, 950, 950, 950, 950, 950]",0.00015
