registryid,x,y,county_fips,state_fips,state_nuclear_restrictions,state_electricity_price,state_net_electricity_imports,state_nuclear_inclusive_policy,pop_weight_svi,traditionally_regulated_state_energy_market,state_construction_labor_5yr_mean_annual_wage,count_protected_lands,count_hazardous_facilities_within_5mi,fault_line_hazard,landslide_hazard,max_pga_lt_0o3g,hundred_year_flood_zone,open_water_or_wetland,pop_weight_sentiment,slope_lt_12pct,population_center_dist,ret_facility_dist,count_nuclear_rd_within_100mi,substation_dist,road_dist,streamflow_50kgpm_within_20mi
110000339982,-76.56,39.28,24510,24,1.0,0.2022980587062957,0.6604515439625174,0.0,0.6158117260610327,1.0,0.8031767041694242,1.0,0.9724137931034482,1.0,0.0,1.0,0.0,1.0,0.8221800039070194,1.0,0.0,0.0,0.015151515151515152,1.0,1.0,1.0
110000344832,-81.46,39.4,54107,54,1.0,0.07290308294171194,0.2906677261144751,0.0,0.588271111813399,1.0,0.7753805426869622,0.9655172413793104,0.9793103448275862,1.0,0.0,1.0,0.0,1.0,0.7563231866669776,1.0,0.006445392751394986,0.0,0.0,1.0,0.9997247269214158,1.0
110000346028,-80.26,35.82,37057,37,1.0,0.08463942130256208,0.584698742362386,1.0,0.35102675547701456,1.0,0.9481800132362674,1.0,0.993103448275862,1.0,0.0,1.0,0.0,1.0,0.8574932604468501,1.0,0.006134297013047111,0.0,0.0,1.0,0.9998682980875198,1.0
110000376450,-91.42,31.51,28001,28,1.0,0.09868858105946748,0.39734772721045564,0.0,0.07938479752803473,1.0,0.9479814692256785,1.0,0.9896551724137931,1.0,0.0,1.0,0.0,1.0,0.8323365972768345,1.0,0.04587715840348141,0.0,0.0,1.0,0.9637731972312454,1.0
110000382808,-82.85,39.99,39049,39,1.0,0.09772900622493269,0.7427733786338602,1.0,0.6121766415576072,0.0,0.5002647253474521,1.0,0.9793103448275862,1.0,1.0,1.0,0.0,1.0,0.8105335503459282,1.0,3.460785830195916e-05,0.0,0.015151515151515152,1.0,1.0,1.0
110000397286,-86.24,39.78,18097,18,1.0,0.1181507270624712,0.5698482067019206,1.0,0.5506597223614771,1.0,0.6422236929185969,1.0,0.9758620689655172,1.0,1.0,1.0,0.0,1.0,0.8213157103926727,1.0,0.0017241318236726384,0.0,0.015151515151515152,1.0,0.9994209121479228,1.0
110000581120,-73.13,42.62,25003,25,0.0,0.47774524518367295,0.7118256295037948,0.0,0.6409249166915605,1.0,0.1474520185307744,0.9655172413793104,0.996551724137931,1.0,1.0,1.0,0.0,1.0,0.7742758381132894,1.0,0.009427798256535861,0.0,0.015151515151515152,1.0,0.9853053469881963,1.0
110000603017,-70.45,43.49,23031,23,0.0,0.3935487045739737,0.5106721100364413,0.0,0.9066737962020206,0.0,0.8522832561217737,1.0,0.993103448275862,1.0,0.0,1.0,0.0,0.0,0.7625849425975597,1.0,0.010323726642579346,0.0,0.0,1.0,0.999303307418672,1.0
110001522683,-70.86,43.26,33017,33,1.0,0.48965381492508014,0.4374400635668685,0.0,0.8976656238122516,0.0,0.6716743878226341,1.0,0.993103448275862,1.0,1.0,1.0,0.0,1.0,0.8407461510703195,1.0,0.0017087022526785514,0.0,0.030303030303030304,1.0,0.9982216055067428,1.0
110001532798,-74.1,40.68,34017,34,0.0,0.2300765199419348,0.5428254377072087,0.0,0.4049318270335357,0.0,0.15863666446062208,1.0,0.9689655172413794,1.0,1.0,1.0,0.0,1.0,0.815962174347341,1.0,0.0,0.0,0.015151515151515152,1.0,1.0,1.0
110001539773,-74.77,40.23,34021,34,0.0,0.2300765199419348,0.5428254377072087,0.0,0.5389432614281923,0.0,0.15863666446062208,0.9655172413793104,0.9827586206896551,1.0,1.0,1.0,0.0,1.0,0.8203174324703634,1.0,0.0,0.0,0.0,1.0,1.0,1.0
110001567073,-79.32,42.49,36013,36,1.0,0.3291095637625174,0.6460599501328876,1.0,0.496902385755695,1.0,0.2279947054930509,1.0,0.993103448275862,1.0,1.0,1.0,0.0,1.0,0.8213297777105786,1.0,0.021954716000851852,0.0,0.0,1.0,0.99923777226308,1.0
110001578347,-79.04,43.12,36063,36,1.0,0.3291095637625174,0.6460599501328876,1.0,0.6303149747102024,1.0,0.2279947054930509,1.0,0.993103448275862,1.0,0.0,1.0,0.0,1.0,0.8170580566925895,1.0,0.0,0.0,0.0,1.0,0.9995530276339223,0.0
110001578720,-75.26,43.11,36065,36,1.0,0.3291095637625174,0.6460599501328876,1.0,0.4379586310960919,1.0,0.2279947054930509,1.0,0.9862068965517241,1.0,1.0,1.0,0.0,1.0,0.7956686226035558,1.0,0.0,0.0,0.0,1.0,0.9998304675779179,1.0
110001619071,-84.54,39.4,39017,39,1.0,0.09772900622493269,0.7427733786338602,1.0,0.6032279247063641,0.0,0.5002647253474521,0.9655172413793104,0.9862068965517241,1.0,1.0,1.0,0.0,1.0,0.8384220643139308,1.0,0.0,0.0,0.0,1.0,0.9953842433163166,1.0
110001623841,-83.19,41.13,39147,39,1.0,0.09772900622493269,0.7427733786338602,1.0,0.7227633535476442,0.0,0.5002647253474521,1.0,0.993103448275862,1.0,1.0,1.0,0.0,1.0,0.8340515393095284,1.0,0.018797834452379893,0.0,0.0,1.0,0.9881065455110118,0.0
110001866785,-96.66,32.91,48113,48,1.0,0.06621066358290378,0.5303997588842918,0.0,0.44743591000714844,0.0,0.8735936465916612,1.0,0.9793103448275862,1.0,1.0,1.0,0.0,1.0,0.8588947883744288,1.0,0.0,0.0,0.0,1.0,0.9988691386988356,1.0
110001887913,-79.98,37.27,51770,51,1.0,0.09723691656619737,0.6950434282269775,0.0,0.6753366509298728,0.0,0.9043017868960954,1.0,0.9793103448275862,1.0,0.0,1.0,0.0,1.0,0.841852682560111,1.0,0.0,0.0,0.0,1.0,0.9992052756278254,1.0
110001894059,-81.28,37.25,51185,51,1.0,0.09723691656619737,0.6950434282269775,0.0,0.3448500125485814,0.0,0.9043017868960954,1.0,0.996551724137931,1.0,1.0,1.0,0.0,1.0,0.7864258077202133,1.0,0.036763049497180615,0.0,0.0,1.0,0.9943771634834516,0.0
110001895085,-80.78,37.04,51155,51,1.0,0.09723691656619737,0.6950434282269775,0.0,0.5994447974544881,0.0,0.9043017868960954,1.0,0.996551724137931,1.0,0.0,1.0,0.0,1.0,0.8146962371840909,1.0,0.016955129293076812,0.0,0.0,1.0,0.9984171024324436,1.0
