"registryid","x","y","county_fips","state_fips","state_nuclear_restrictions","state_electricity_price","state_net_electricity_imports","state_nuclear_inclusive_policy","traditionally_regulated_state_energy_market","state_construction_labor_5yr_mean_annual_wage","count_protected_lands","count_hazardous_facilities_within_5mi","fault_line_hazard","landslide_hazard","max_pga_lt_0o3g","hundred_year_flood_zone","slope_lt_12pct","open_water_or_wetland","streamflow_50kgpm_within_20mi","count_nuclear_rd_within_100mi"
"110002150234","-122.311283","47.546573","53033","53",NULL,"9.54",-9445,True,True,48534,NULL,8,True,True,False,NULL,True,True,True,0
"110002178688","-82.793055","34.720833","45077","45",NULL,"10.8123076923077",-13311,False,True,31916,NULL,3,True,False,True,NULL,True,True,True,0
"110002193411","-82.01402","34.50049","45059","45",NULL,"10.8123076923077",-13311,False,True,31916,NULL,1,True,False,True,NULL,True,True,True,1
"110002198595","-82.39215","34.45151","45007","45",NULL,"10.8123076923077",-13311,False,True,31916,NULL,2,True,False,True,NULL,True,True,True,0
"110002207264","-88.52883","30.36849","28059","28",NULL,"11.0661538461538",-12476,False,True,30390,NULL,8,True,True,True,NULL,True,True,True,0
"110002226001","-88.3835","33.48211","28087","28",NULL,"11.0661538461538",-12476,False,True,30390,NULL,3,True,True,True,NULL,True,True,True,0
"110002233529","-80.691714","32.931396","45029","45",NULL,"10.8123076923077",-13311,False,True,31916,NULL,1,True,True,False,NULL,True,True,True,1
"110002243509","-81.0461","33.99631","45079","45",NULL,"10.8123076923077",-13311,False,True,31916,1,4,True,True,True,NULL,True,True,True,1
"110002333706","-111.97588","41.23061","49057","49",NULL,"8.99692307692308",-5551,False,True,34086,NULL,5,True,False,False,NULL,True,True,True,1
"110002341449","-84.54389","39.09491","21117","21",NULL,"10.1892307692308",8059,False,True,36214,NULL,6,True,False,True,NULL,True,False,True,0
"110002358163","-77.793554","35.941596","37065","37",NULL,"10.6269230769231",14875,True,True,30384,NULL,4,True,True,True,NULL,True,True,True,2
"110002358163","-77.793554","35.941596","37065","37",NULL,"10.6269230769231",14875,True,True,30384,NULL,4,True,True,True,NULL,True,True,True,2
"110002384900","-89.09938","42.25953","17201","17","{2,4}","11.9869230769231",-34739,False,False,59038,1,5,True,True,True,NULL,True,True,True,2
"110002388381","-88.12845","42.1617","17097","17","{2,4}","11.9869230769231",-34739,False,False,59038,NULL,4,True,True,True,NULL,True,True,True,1
"110002394579","-80.324207","27.450654","12111","12",NULL,"13.39",13226,False,True,31532,1,2,True,True,True,NULL,True,True,True,0
"110003063559","-89.60578","42.299659","17177","17","{2,4}","11.9869230769231",-34739,False,False,59038,1,1,True,True,True,NULL,True,True,True,1
"110003072193","-85.95745","41.67271","18039","18",NULL,"11.6746153846154",12707,True,True,39630,26,130,True,True,True,NULL,True,True,True,0
"110003072193","-85.95745","41.67271","18039","18",NULL,"11.6746153846154",12707,True,True,39630,26,130,True,True,True,NULL,True,True,True,0
"110003072193","-85.95745","41.67271","18039","18",NULL,"11.6746153846154",12707,True,True,39630,26,130,True,True,True,NULL,True,True,True,0
"110003072193","-85.95745","41.67271","18039","18",NULL,"11.6746153846154",12707,True,True,39630,26,130,True,True,True,NULL,True,True,True,0
"110003072193","-85.95745","41.67271","18039","18",NULL,"11.6746153846154",12707,True,True,39630,26,130,True,True,True,NULL,True,True,True,0
"110003123600","-86.12452","39.82915","18097","18",NULL,"11.6746153846154",12707,True,True,39630,NULL,7,True,True,True,NULL,True,True,True,1
"110003209000","-94.88686","38.53453","20121","20",NULL,"11.1884615384615",-7317,False,True,35474,NULL,1,True,True,True,NULL,True,True,NULL,0
