registryid,x,y,county_fips,state_fips,state_nuclear_restrictions,state_electricity_price,state_net_electricity_imports,state_nuclear_inclusive_policy,pop_weight_svi,traditionally_regulated_state_energy_market,state_construction_labor_5yr_mean_annual_wage,count_protected_lands,count_hazardous_facilities_within_5mi,fault_line_hazard,landslide_hazard,max_pga_lt_0o3g,hundred_year_flood_zone,open_water_or_wetland,pop_weight_sentiment,slope_lt_12pct,population_center_dist,ret_facility_dist,count_nuclear_rd_within_100mi,substation_dist,road_dist,streamflow_50kgpm_within_20mi
110000339982,-76.56,39.28,24510.0,24,0,14.3053846153846,25934,0,0.402230894957042,1,34766,0.0,8.0,1,0,1,0,1,0.415854539620408,1,3.204225645054625,2.951268246999375,1,1.3810653293795938,0.7781969653401375,1
110000344832,-81.46,39.4,54107.0,54,0,10.26,-28050,0,0.428866209430042,1,35606,1.0,6.0,1,0,1,0,1,0.382544490380485,1,13.695002739825249,76.82957569661063,0,1.64295579896835,1.4919869097920186,1
110000346028,-80.26,35.82,37057.0,37,0,10.6269230769231,14875,1,0.658312001057838,1,30384,0.0,2.0,1,0,1,0,1,0.433715808407151,1,13.22706010980044,52.97458528527206,0,1.2664712708743124,1.2353866831733935,1
110000376450,-91.42,31.51,28001.0,28,0,11.0661538461538,-12476,0,0.921024695443519,1,30390,0.0,3.0,1,0,1,0,1,0.42099169382003,1,73.00730391036062,70.61260904325626,0,0.9121890948342,65.7470244366525,1
110000382808,-82.85,39.99,39049.0,39,0,11.0361538461538,37952,1,0.40574648898171,0,43920,0.0,6.0,1,1,1,0,1,0.409963821577105,1,4.052056297265106,69.46883115097374,1,1.121947330627881,0.6567889498983813,1
110000397286,-86.24,39.78,18097.0,18,0,11.6746153846154,12707,1,0.465241258178437,1,39630,0.0,7.0,1,1,1,0,1,0.415417384277542,1,6.593397082079813,51.84267358750856,1,0.0752984688862749,2.034985492612732,1
110000581120,-73.13,42.62,25003.0,25,2,22.9169230769231,33434,0,0.377943211180273,1,54582,1.0,1.0,1,1,1,0,1,0.391624851817998,1,18.18106443674088,45.52981577266412,1,3.8500935154482248,27.263290848951065,1
110000603017,-70.45,43.49,23031.0,23,2,20.2846153846154,4068,0,0.12092988123188,0,33282,0.0,2.0,1,0,1,0,0,0.385711655256003,1,19.52869808645119,96.16490339504188,0,0.5352279447090068,2.245176723875444,1
110001522683,-70.86,43.26,33017.0,33,0,23.2892307692308,-6623,0,0.129641941982272,0,38740,0.0,2.0,1,1,1,0,1,0.425245204127486,1,6.570188297319625,68.04008288863437,2,4.220085954257356,4.178468507086806,1
110001532798,-74.1,40.68,34017.0,34,2,15.1738461538462,8762,0,0.606178867072968,0,54244,0.0,9.0,1,1,1,0,1,0.412709592483904,1,1.5780648961563,4.328454084773576,1,1.0298756700043687,0.9469684242986188,1
110001539773,-74.77,40.23,34021.0,34,2,15.1738461538462,8762,0,0.47657258211561,0,54244,1.0,5.0,1,1,1,0,1,0.41491246029031,1,0.8950815168616189,36.83084422051006,0,2.908520631384913,0.92063371268685,1
110001567073,-79.32,42.49,36013.0,36,0,18.27,23833,1,0.517231513473812,1,52148,0.0,2.0,1,1,1,0,1,0.41542449945668,1,37.02374889944081,1.9391603437489189,0,0.2606739089923787,2.362305644902825,1
110001578347,-79.04,43.12,36063.0,36,0,18.27,23833,1,0.388204389041912,1,52148,0.0,2.0,1,0,1,0,1,0.413263884300776,1,2.552483550901444,26.39430099785313,0,0.2507221579103443,1.798859642504819,0
110001578720,-75.26,43.11,36065.0,36,0,18.27,23833,1,0.574237701769441,1,52148,0.0,4.0,1,1,1,0,1,0.402445215367492,1,2.4595159713041936,94.56623628043376,0,0.57288707374716,1.3029999623599438,1
110001619071,-84.54,39.4,39017.0,39,0,11.0361538461538,37952,1,0.414401048583015,0,43920,1.0,4.0,1,1,1,0,1,0.424069692653693,1,1.6215782070862688,1.298716792437275,0,1.1984802081619064,9.249596650849377,1
110001623841,-83.19,41.13,39147.0,39,0,11.0361538461538,37952,1,0.298794921964907,0,43920,0.0,2.0,1,1,1,0,1,0.421859102934935,1,32.275244589115374,71.78621524685813,0,0.8800791069609937,22.256796890144187,0
110001866785,-96.66,32.91,48113.0,48,0,10.0507692307692,6948,0,0.565071954706773,0,32638,0.0,6.0,1,1,1,0,1,0.434424694233027,1,2.237932359413332,8.8334247876025,0,0.2818234838099575,3.0211528124172435,1
110001887913,-79.98,37.27,51770.0,51,0,11.0207692307692,30984,0,0.344662640356494,0,31710,0.0,6.0,1,0,1,0,1,0.425804882228481,1,1.6821583588192623,116.75382036052062,0,1.2421773404990188,2.420385858339575,1
110001894059,-81.28,37.25,51185.0,51,0,11.0207692307692,30984,0,0.664285705523483,0,31710,0.0,1.0,1,1,1,0,1,0.397770245762486,1,59.298083351454,144.60443956006438,0,2.683530459255438,11.0495187407005,0
110001895085,-80.78,37.04,51155.0,51,0,11.0207692307692,30984,0,0.418059818977134,0,31710,0.0,1.0,1,0,1,0,1,0.412069287789421,1,29.50349238452444,125.59526223490936,0,2.412329492917676,3.829063004579588,1
