Average R2 Score,Layer1 Neurons,Learning Rate
0.7383586518473372,"[600, 600, 600, 600, 600]",0.002
0.7591441428637391,"[600, 600, 600, 600, 600]",0.0016
0.7593849168949137,"[600, 600, 600, 600, 600]",0.0012
0.7618693961057003,"[600, 600, 600, 600, 600]",0.001
0.7481448862427048,"[600, 600, 600, 600, 600, 600]",0.002
0.7451566085101039,"[600, 600, 600, 600, 600, 600]",0.0016
0.7479432145266455,"[600, 600, 600, 600, 600, 600]",0.0012
0.7503623010215613,"[600, 600, 600, 600, 600, 600]",0.001
0.7417559086109555,"[600, 600, 600, 600, 600, 600, 600]",0.002
0.7494328109176773,"[600, 600, 600, 600, 600, 600, 600]",0.0016
0.7427597461171871,"[600, 600, 600, 600, 600, 600, 600]",0.0012
0.7626899871222423,"[600, 600, 600, 600, 600, 600, 600]",0.001
0.7459170464093728,"[650, 650, 650, 650, 650]",0.002
0.7550571530301616,"[650, 650, 650, 650, 650]",0.0016
0.7567639414712303,"[650, 650, 650, 650, 650]",0.0012
0.7506973422655702,"[650, 650, 650, 650, 650]",0.001
0.7465493336903848,"[650, 650, 650, 650, 650, 650]",0.002
0.7600168226365844,"[650, 650, 650, 650, 650, 650]",0.0016
0.7495006553815629,"[650, 650, 650, 650, 650, 650]",0.0012
0.7578557511650793,"[650, 650, 650, 650, 650, 650]",0.001
0.7513918954646838,"[650, 650, 650, 650, 650, 650, 650]",0.002
0.7570756720928643,"[650, 650, 650, 650, 650, 650, 650]",0.0016
0.7516907236258773,"[650, 650, 650, 650, 650, 650, 650]",0.0012
0.7542636133073599,"[650, 650, 650, 650, 650, 650, 650]",0.001
0.7385330798043906,"[700, 700, 700, 700, 700]",0.002
0.756863863027802,"[700, 700, 700, 700, 700]",0.0016
0.7521198259914326,"[700, 700, 700, 700, 700]",0.0012
0.7604289980845508,"[700, 700, 700, 700, 700]",0.001
0.748592891862787,"[700, 700, 700, 700, 700, 700]",0.002
0.7522618853339559,"[700, 700, 700, 700, 700, 700]",0.0016
0.7562372719434541,"[700, 700, 700, 700, 700, 700]",0.0012
0.746701999080769,"[700, 700, 700, 700, 700, 700]",0.001
0.7437110158538971,"[700, 700, 700, 700, 700, 700, 700]",0.002
0.7524348028757238,"[700, 700, 700, 700, 700, 700, 700]",0.0016
0.7457436227664967,"[700, 700, 700, 700, 700, 700, 700]",0.0012
0.7515971144598801,"[700, 700, 700, 700, 700, 700, 700]",0.001
0.7506417351310811,"[750, 750, 750, 750, 750]",0.002
0.7552738230110073,"[750, 750, 750, 750, 750]",0.0016
0.7515783612287105,"[750, 750, 750, 750, 750]",0.0012
0.7506799869479012,"[750, 750, 750, 750, 750]",0.001
0.7532096913335491,"[750, 750, 750, 750, 750, 750]",0.002
0.758438351136041,"[750, 750, 750, 750, 750, 750]",0.0016
0.7435599101972227,"[750, 750, 750, 750, 750, 750]",0.0012
0.7436451679537577,"[750, 750, 750, 750, 750, 750]",0.001
0.7526765780943574,"[750, 750, 750, 750, 750, 750, 750]",0.002
0.7503470891532646,"[750, 750, 750, 750, 750, 750, 750]",0.0016
0.7502263159059013,"[750, 750, 750, 750, 750, 750, 750]",0.0012
0.7520295090915063,"[750, 750, 750, 750, 750, 750, 750]",0.001
