Average R2 Score,Layer1 Neurons,Learning Rate
0.7435584448001319,"[550, 550, 550, 550, 550]",0.0012
0.7563888802126548,"[550, 550, 550, 550, 550]",0.001
0.754425735235058,"[550, 550, 550, 550, 550]",0.0008
0.7518717924794083,"[550, 550, 550, 550, 550]",0.0006
0.7487665536057769,"[550, 550, 550, 550, 550, 550]",0.0012
0.7553498937131882,"[550, 550, 550, 550, 550, 550]",0.001
0.7456012900608608,"[550, 550, 550, 550, 550, 550]",0.0008
0.7582974212576036,"[550, 550, 550, 550, 550, 550]",0.0006
0.7584498170218844,"[550, 550, 550, 550, 550, 550, 550]",0.0012
0.7402654994082009,"[550, 550, 550, 550, 550, 550, 550]",0.001
0.7530166434800504,"[550, 550, 550, 550, 550, 550, 550]",0.0008
0.7575587361461888,"[550, 550, 550, 550, 550, 550, 550]",0.0006
0.7601233834399672,"[600, 600, 600, 600, 600]",0.0012
0.7541244150568083,"[600, 600, 600, 600, 600]",0.001
0.752448388904638,"[600, 600, 600, 600, 600]",0.0008
0.7532477063848643,"[600, 600, 600, 600, 600]",0.0006
0.755506058046178,"[600, 600, 600, 600, 600, 600]",0.0012
0.7600545503503479,"[600, 600, 600, 600, 600, 600]",0.001
0.7587240250372633,"[600, 600, 600, 600, 600, 600]",0.0008
0.7524466629162717,"[600, 600, 600, 600, 600, 600]",0.0006
0.7557692930868224,"[600, 600, 600, 600, 600, 600, 600]",0.0012
0.7537643454970318,"[600, 600, 600, 600, 600, 600, 600]",0.001
0.7494406174522805,"[600, 600, 600, 600, 600, 600, 600]",0.0008
0.7501967884305909,"[600, 600, 600, 600, 600, 600, 600]",0.0006
0.7503512743391376,"[650, 650, 650, 650, 650]",0.0012
0.751909225955583,"[650, 650, 650, 650, 650]",0.001
0.75430867764541,"[650, 650, 650, 650, 650]",0.0008
0.7565970975903749,"[650, 650, 650, 650, 650]",0.0006
0.7614239423474646,"[650, 650, 650, 650, 650, 650]",0.0012
0.7514048484991629,"[650, 650, 650, 650, 650, 650]",0.001
0.7503979530926755,"[650, 650, 650, 650, 650, 650]",0.0008
0.7535498965238939,"[650, 650, 650, 650, 650, 650]",0.0006
0.752231433792571,"[650, 650, 650, 650, 650, 650, 650]",0.0012
0.7574823682790058,"[650, 650, 650, 650, 650, 650, 650]",0.001
0.7460093566077245,"[650, 650, 650, 650, 650, 650, 650]",0.0008
0.7550945049861326,"[650, 650, 650, 650, 650, 650, 650]",0.0006
