Average R2 Score,Layer1 Neurons,Learning Rate
0.7145119068623763,"[400, 400, 400, 400]",0.001
0.6905127402571511,"[400, 400, 400, 400]",0.0005
0.6410036852634042,"[400, 400, 400, 400]",0.0002
0.6083431662128651,"[400, 400, 400, 400]",8e-05
0.7273046321493543,"[400, 400, 400, 400, 400, 400]",0.001
0.7173514896924894,"[400, 400, 400, 400, 400, 400]",0.0005
0.6753055335042899,"[400, 400, 400, 400, 400, 400]",0.0002
0.6341585891022001,"[400, 400, 400, 400, 400, 400]",8e-05
0.7109661296044129,"[400, 400, 400, 400, 400, 400, 400, 400]",0.001
0.7160227767193666,"[400, 400, 400, 400, 400, 400, 400, 400]",0.0005
0.692701388423964,"[400, 400, 400, 400, 400, 400, 400, 400]",0.0002
0.6484917254695796,"[400, 400, 400, 400, 400, 400, 400, 400]",8e-05
0.7024336563874131,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",0.001
0.7238456742322209,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",0.0005
0.6985884035498745,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",0.0002
0.6579248938348795,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",8e-05
0.7280279664032986,"[600, 600, 600, 600]",0.001
0.7045646877065626,"[600, 600, 600, 600]",0.0005
0.6568421546395163,"[600, 600, 600, 600]",0.0002
0.6220301714450854,"[600, 600, 600, 600]",8e-05
0.7343115502272376,"[600, 600, 600, 600, 600, 600]",0.001
0.7254637914246213,"[600, 600, 600, 600, 600, 600]",0.0005
0.6977755856100635,"[600, 600, 600, 600, 600, 600]",0.0002
0.6526947414766645,"[600, 600, 600, 600, 600, 600]",8e-05
0.7159395200926594,"[600, 600, 600, 600, 600, 600, 600, 600]",0.001
0.7298744540315202,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.7096474121226609,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.6712491465984555,"[600, 600, 600, 600, 600, 600, 600, 600]",8e-05
0.7297637792469324,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.001
0.7228554927619576,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.7080741167880737,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.6734794794233813,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",8e-05
0.7334556997668265,"[800, 800, 800, 800]",0.001
0.7198318574447213,"[800, 800, 800, 800]",0.0005
0.6785326897211001,"[800, 800, 800, 800]",0.0002
0.6390104105833844,"[800, 800, 800, 800]",8e-05
0.7323587732449074,"[800, 800, 800, 800, 800, 800]",0.001
0.7301857827352493,"[800, 800, 800, 800, 800, 800]",0.0005
0.706965840988539,"[800, 800, 800, 800, 800, 800]",0.0002
0.6694774865733962,"[800, 800, 800, 800, 800, 800]",8e-05
0.7218830033495952,"[800, 800, 800, 800, 800, 800, 800, 800]",0.001
0.7302174817066898,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.7220804286057457,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0002
0.6877387716237328,"[800, 800, 800, 800, 800, 800, 800, 800]",8e-05
0.7212498248479196,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",0.001
0.7162984606948137,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.7291913609127293,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",0.0002
0.6896845278822146,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",8e-05
0.7309751354151511,"[1000, 1000, 1000, 1000]",0.001
0.7221113915073591,"[1000, 1000, 1000, 1000]",0.0005
0.6905849253231536,"[1000, 1000, 1000, 1000]",0.0002
0.6460163388417913,"[1000, 1000, 1000, 1000]",8e-05
0.7274907308091184,"[1000, 1000, 1000, 1000, 1000, 1000]",0.001
0.7341608803129452,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0005
0.7154746991461217,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.6735231910095695,"[1000, 1000, 1000, 1000, 1000, 1000]",8e-05
0.717865547385046,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.001
0.7162441606489155,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0005
0.7260201910661821,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.6957165046868085,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",8e-05
0.725755799777999,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.001
0.7257191517120168,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0005
0.7187693084975005,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.6991381332589649,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",8e-05
