Average R2 Score,Layer1 Neurons,Learning Rate
0.7427785771824964,"[400, 400, 400, 400]",0.001
0.7305061612172722,"[400, 400, 400, 400]",0.0005
0.6974967928829068,"[400, 400, 400, 400]",0.0002
0.6584527989087783,"[400, 400, 400, 400]",8e-05
0.7439481196235627,"[400, 400, 400, 400, 400, 400]",0.001
0.7453476041027683,"[400, 400, 400, 400, 400, 400]",0.0005
0.72408219574437,"[400, 400, 400, 400, 400, 400]",0.0002
0.68097938537873,"[400, 400, 400, 400, 400, 400]",8e-05
0.7570274467539587,"[400, 400, 400, 400, 400, 400, 400, 400]",0.001
0.7528872737612897,"[400, 400, 400, 400, 400, 400, 400, 400]",0.0005
0.7408599455855243,"[400, 400, 400, 400, 400, 400, 400, 400]",0.0002
0.6977870055172939,"[400, 400, 400, 400, 400, 400, 400, 400]",8e-05
0.7306060795655079,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",0.001
0.7382858417502424,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",0.0005
0.733588479711537,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",0.0002
0.7052362484262829,"[400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",8e-05
0.758231488872135,"[600, 600, 600, 600]",0.001
0.7455956903348221,"[600, 600, 600, 600]",0.0005
0.71579526093916,"[600, 600, 600, 600]",0.0002
0.6701830688852966,"[600, 600, 600, 600]",8e-05
0.7632483382596766,"[600, 600, 600, 600, 600, 600]",0.001
0.7599470698795869,"[600, 600, 600, 600, 600, 600]",0.0005
0.742773900747818,"[600, 600, 600, 600, 600, 600]",0.0002
0.7082344360494573,"[600, 600, 600, 600, 600, 600]",8e-05
0.7531015505914618,"[600, 600, 600, 600, 600, 600, 600, 600]",0.001
0.7518469228631496,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.7518452768423269,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.7205035832338612,"[600, 600, 600, 600, 600, 600, 600, 600]",8e-05
0.7425411950974887,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.001
0.7546014936349171,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.7377007093384979,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.7322377114781493,"[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]",8e-05
0.757237645064152,"[800, 800, 800, 800]",0.001
0.7499213664724131,"[800, 800, 800, 800]",0.0005
0.732425540285411,"[800, 800, 800, 800]",0.0002
0.6837436799534384,"[800, 800, 800, 800]",8e-05
0.7518328633327301,"[800, 800, 800, 800, 800, 800]",0.001
0.7524880900721538,"[800, 800, 800, 800, 800, 800]",0.0005
0.7500373722831593,"[800, 800, 800, 800, 800, 800]",0.0002
0.7216921345131516,"[800, 800, 800, 800, 800, 800]",8e-05
0.7421489975684878,"[800, 800, 800, 800, 800, 800, 800, 800]",0.001
0.7526744203456892,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.7456062553874386,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0002
0.7273719668213746,"[800, 800, 800, 800, 800, 800, 800, 800]",8e-05
0.744344155308569,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",0.001
0.7501817024690525,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.7258583400685055,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",0.0002
0.7402294983579004,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]",8e-05
0.7584959884036249,"[1000, 1000, 1000, 1000]",0.001
0.7515579103936288,"[1000, 1000, 1000, 1000]",0.0005
0.7362848165239275,"[1000, 1000, 1000, 1000]",0.0002
0.6974332366047489,"[1000, 1000, 1000, 1000]",8e-05
0.7550340145465596,"[1000, 1000, 1000, 1000, 1000, 1000]",0.001
0.7506412973385772,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0005
0.7500240420262546,"[1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.731113540307631,"[1000, 1000, 1000, 1000, 1000, 1000]",8e-05
0.7540212879344561,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.001
0.7578882293002721,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0005
0.7498122035564742,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.7398427471866498,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",8e-05
0.7468238636925711,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.001
0.7481183639942706,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0005
0.7384005241932873,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.0002
0.7408486849783074,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",8e-05
